BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2022-11-29,Сбербанк,SBER,69284,4322432923.7,136.29,135.88,137.2,136.85,136.58,136.37,31648090,136.6,136.6,136.85,3808849406.0,3808849406.0,3808849406.0,0,3,SUR,0.62
SMAL,2022-11-30,Сбербанк,SBER,43,14633.85,135.52,134.06,138.56,,135.91,136.32,108,,,,0.0,0.0,0.0,0,3,SUR,0.61
TQBR,2022-11-30,Сбербанк,SBER,63115,3645274279.8,136.5,135.23,136.78,135.51,135.91,136.78,26816190,135.86,135.86,135.51,2679915826.3,2679915826.3,2679915826.3,0,3,SUR,0.3
SMAL,2022-12-01,Сбербанк,SBER,13,2872.02,136.03,136.03,138.7,,136.98,136.04,21,,,,0.0,0.0,0.0,0,3,SUR,-0.21
TQBR,2022-12-01,Сбербанк,SBER,69939,4528220086.5,137.1,136.31,137.95,136.47,136.98,137.15,33056500,137.0,137.0,136.47,3890903850.3,3890903850.3,3890903850.3,0,3,SUR,0.27
SMAL,2022-12-02,Сбербанк,SBER,52,22156.07,134.85,134.85,136.73,,136.63,136.73,164,,,,0.0,0.0,0.0,0,3,SUR,0.51
TQBR,2022-12-02,Сбербанк,SBER,42822,2631801491.3,136.99,136.17,137.1,136.5,136.63,136.66,19261670,136.63,136.63,136.5,2287543522.5,2287543522.5,2287543522.5,0,3,SUR,-0.36
SMAL,2022-12-05,Сбербанк,SBER,113,46441.48,136.73,136.73,142.36,,140.73,138.3,332,,,,0.0,0.0,0.0,0,3,SUR,1.15
TQBR,2022-12-05,Сбербанк,SBER,194980,14626342206.0,136.66,136.25,142.68,142.05,140.73,142.0,103930500,140.56,140.56,142.05,13038358597.2,13038358597.2,13038358597.2,0,3,SUR,3.91
SMAL,2022-12-06,Сбербанк,SBER,14,3228.06,137.62,137.62,142.76,,141.24,142.76,23,,,,0.0,0.0,0.0,0,3,SUR,3.22
