,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
1033,TQBR,2023-01-23,SBER,118475,8453400896.7,151.9,151.01,154.1,153.15,153.5,55198870,,,1.4
1035,TQBR,2023-01-24,SBER,153163,12126204920.9,153.95,152.28,155.58,154.02,152.66,78734130,,,-0.55
1037,TQBR,2023-01-25,SBER,95683,6613609683.1,152.45,151.5,153.6,152.47,152.81,43376700,,,0.1
1039,TQBR,2023-01-26,SBER,97132,6966980467.7,153.32,151.73,154.3,153.08,152.4,45513320,,,-0.27
1041,TQBR,2023-01-27,SBER,80414,5213964676.6,152.4,151.69,153.48,152.79,153.2,34123690,,,0.52
1043,TQBR,2023-01-30,SBER,67194,4760702156.6,153.5,152.21,153.88,153.04,153.38,31105220,,,0.12
1045,TQBR,2023-01-31,SBER,132964,12127748512.5,153.51,153.3,158.18,155.69,158.07,77890320,,,3.06
1047,TQBR,2023-02-01,SBER,116145,10480709146.9,158.2,156.5,159.6,158.01,158.29,66332200,,,0.14
1049,TQBR,2023-02-02,SBER,99447,8572049477.0,158.4,157.37,160.29,159.13,159.45,53866380,,,0.73
1051,TQBR,2023-02-03,SBER,123025,10193999216.9,159.1,157.88,162.32,159.94,161.26,63735330,,,1.14
1053,TQBR,2023-02-06,SBER,169138,14666403495.3,161.78,161.01,167.17,164.64,167.09,89083530,,,3.62
1055,TQBR,2023-02-07,SBER,178700,15345906260.6,167.3,163.4,168.7,165.61,165.39,92661570,,,-1.02
1057,TQBR,2023-02-08,SBER,119028,9652989000.6,165.0,162.7,166.35,164.53,164.15,58669030,,,-0.75
1059,TQBR,2023-02-09,SBER,196531,17608882957.8,164.33,161.27,167.47,164.26,165.31,107139220,,,0.71
1061,TQBR,2023-02-10,SBER,93521,6774229866.8,165.0,164.5,166.49,165.53,165.52,40924680,,,0.13
1063,TQBR,2023-02-13,SBER,95140,5995183185.7,165.2,164.17,166.88,165.56,164.32,36212200,,,-0.72
1065,TQBR,2023-02-14,SBER,137917,9574244266.6,164.3,161.64,164.38,162.74,161.86,58832960,,,-1.5
1067,TQBR,2023-02-15,SBER,201203,17992861042.9,160.94,153.83,161.12,158.1,156.25,113804160,,,-3.47
1069,TQBR,2023-02-16,SBER,134175,10824261902.6,157.33,156.25,159.3,157.91,158.22,68549280,,,1.26
1071,TQBR,2023-02-17,SBER,104513,8295150283.0,158.0,156.91,160.38,158.98,159.73,52179940,,,0.95
1073,TQBR,2023-02-20,SBER,123754,10151613700.1,159.41,156.73,161.3,158.69,160.09,63971610,,,0.23
1075,TQBR,2023-02-21,SBER,204888,20810057510.7,160.66,159.26,165.65,163.32,164.15,127422480,,,2.54
1077,TQBR,2023-02-22,SBER,99089,7150966488.1,164.13,162.5,164.42,163.36,163.37,43772430,,,-0.48
1079,TQBR,2023-02-24,SBER,88245,6199625787.6,163.33,163.1,165.5,164.33,164.3,37727230,,,0.57
1081,TQBR,2023-02-27,SBER,199345,16780738615.2,163.52,162.96,170.0,167.59,169.95,100133280,,,3.44
1083,TQBR,2023-02-28,SBER,164100,13727277947.9,170.5,168.37,171.92,170.01,169.82,80748140,,,-0.08
1085,TQBR,2023-03-01,SBER,114761,9167860118.1,170.4,169.5,171.66,170.46,170.53,53784730,,,0.42
1087,TQBR,2023-03-02,SBER,160590,14517746431.3,170.4,166.55,170.4,168.63,168.05,86095640,,,-1.45
1089,TQBR,2023-03-03,SBER,105630,8415476818.0,168.17,167.9,171.26,169.78,171.16,49566770,,,1.85
1091,TQBR,2023-03-06,SBER,114300,11111583412.4,172.14,171.35,172.99,172.05,171.84,64585290,,,0.4
1093,TQBR,2023-03-07,SBER,103891,9555925415.8,171.87,171.0,174.2,172.84,174.01,55287380,,,1.26
1095,TQBR,2023-03-09,SBER,156235,13943157257.4,174.85,172.21,174.89,173.44,172.55,80393110,,,-0.84
1097,TQBR,2023-03-10,SBER,103332,8636905460.0,171.55,170.58,173.0,171.87,172.53,50256970,,,-0.01
1099,TQBR,2023-03-13,SBER,129764,12709525433.5,172.5,169.26,173.9,171.68,172.15,74032280,,,-0.22
1101,TQBR,2023-03-14,SBER,141502,15601317280.3,171.61,171.01,176.95,174.67,175.71,89325670,,,2.07
1103,TQBR,2023-03-15,SBER,135726,14010359713.1,176.0,173.59,177.37,175.32,175.3,79930290,,,-0.23
1105,TQBR,2023-03-16,SBER,96462,8999771334.6,174.94,173.36,176.04,174.64,175.45,51534160,,,0.09
1108,TQBR,2023-03-17,SBER,515985,72487640689.1,183.0,178.56,193.66,186.71,193.59,388164850,,,10.34
1110,TQBR,2023-03-20,SBER,276075,31309861829.0,196.02,195.0,205.09,199.78,203.73,156714250,,,5.24
1112,TQBR,2023-03-21,SBER,221392,25112540900.7,204.76,201.25,208.0,204.85,203.32,122583960,,,-0.2
1114,TQBR,2023-03-22,SBER,123240,11679333494.7,203.4,201.59,204.4,202.88,202.89,57568140,,,-0.21
1116,TQBR,2023-03-23,SBER,66313,5415399866.5,202.53,202.22,204.2,203.2,202.58,26650230,,,-0.15
1118,TQBR,2023-03-24,SBER,60612,4939230840.9,202.86,202.0,203.85,203.04,203.57,24325540,,,0.49
1120,TQBR,2023-03-27,SBER,183447,21191264384.4,204.01,204.01,213.2,208.73,211.84,101521380,,,4.06
1122,TQBR,2023-03-28,SBER,145523,15726501741.8,212.86,210.67,214.7,212.8,214.03,73901050,,,1.03
1124,TQBR,2023-03-29,SBER,192894,20980171180.8,214.85,213.6,219.53,217.01,217.99,96682530,,,1.85
1126,TQBR,2023-03-30,SBER,95110,8884287057.7,217.3,216.12,218.45,217.29,216.87,40886950,,,-0.51
1128,TQBR,2023-03-31,SBER,169796,18878992953.8,217.2,211.3,217.35,214.32,216.6,88081360,,,-0.12
1130,TQBR,2023-04-03,SBER,124818,11951820883.8,218.45,214.8,219.44,216.61,216.09,55175630,,,-0.24
1132,TQBR,2023-04-04,SBER,118356,9882799399.6,216.2,213.8,217.29,215.77,214.83,45803380,,,-0.58
1134,TQBR,2023-04-05,SBER,115578,9891663991.7,214.65,211.4,216.3,214.21,216.15,46177490,,,0.61
1136,TQBR,2023-04-06,SBER,99111,8425126719.9,216.3,214.07,217.38,215.69,214.25,39061450,,,-0.88
1138,TQBR,2023-04-07,SBER,84466,6286417581.4,214.5,213.65,216.39,215.3,216.27,29198130,,,0.94
1140,TQBR,2023-04-10,SBER,188049,18737869518.4,217.1,216.61,222.26,219.94,222.21,85196000,,,2.75
1142,TQBR,2023-04-11,SBER,194349,21743759463.1,222.9,217.62,223.33,220.66,218.6,98538370,,,-1.62
1144,TQBR,2023-04-12,SBER,110370,9773616806.2,218.6,216.67,219.7,218.33,219.22,44767540,,,0.28
1146,TQBR,2023-04-13,SBER,75677,7159179734.3,219.49,218.0,220.89,219.08,219.85,32672160,,,0.29
1148,TQBR,2023-04-14,SBER,97024,9554306584.3,220.0,218.51,222.5,220.5,221.87,43316040,,,0.92
1150,TQBR,2023-04-17,SBER,172575,17756638468.9,222.98,222.91,228.2,225.35,228.1,78797270,,,2.81
1152,TQBR,2023-04-18,SBER,176248,22454901978.8,227.89,227.05,232.76,229.67,232.66,97770120,,,2.0
1154,TQBR,2023-04-19,SBER,187538,27097765520.1,232.67,231.1,237.37,234.17,232.95,115713300,,,0.12
1156,TQBR,2023-04-20,SBER,166292,19879696925.7,233.32,229.84,236.47,233.61,236.28,85093750,,,1.43
1158,TQBR,2023-04-21,SBER,189645,27370731655.4,237.4,233.52,238.85,236.14,235.17,115905760,,,-0.47
