TRADEDATE,BOARDID,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,TRENDCLSPR
2023-10-31,TQBR,SBER,64190,7029773669.2,270.0,266.87,270.5,268.15,268.35,26210450,-0.57
2023-11-01,TQBR,SBER,67445,5549754579.7,268.29,267.6,270.3,269.27,269.68,20609480,0.5
2023-11-02,TQBR,SBER,73978,6944685370.1,270.0,268.5,270.98,269.69,269.06,25751530,-0.23
2023-11-03,TQBR,SBER,68091,5636878200.6,269.07,267.2,269.78,268.66,268.54,20981280,-0.19
2023-11-06,TQBR,SBER,83116,7958186555.7,269.0,268.62,273.87,271.85,273.42,29274160,1.82
2023-11-07,TQBR,SBER,86724,8823191181.7,273.01,272.2,274.78,273.33,273.31,32275170,-0.04
2023-11-08,TQBR,SBER,180374,16058628329.9,273.64,273.28,278.35,276.67,278.15,58032670,1.77
2023-11-09,TQBR,SBER,78959,7882378166.5,278.6,276.02,278.85,277.25,276.65,28430630,-0.54
2023-11-10,TQBR,SBER,108167,12486368414.0,276.99,276.6,281.3,279.69,280.19,44643290,1.28
2023-11-13,TQBR,SBER,119614,12987568839.3,280.4,280.32,284.8,283.02,283.97,45887770,1.35
2023-11-14,TQBR,SBER,101614,11420870892.9,283.7,280.54,283.88,282.1,280.87,40484810,-1.09
2023-11-15,TQBR,SBER,100324,11759519733.3,280.87,278.51,283.93,281.06,282.89,41837690,0.72
2023-11-16,TQBR,SBER,69036,6960894309.1,282.4,279.56,283.69,281.87,279.7,24696600,-1.13
2023-11-17,TQBR,SBER,86522,8802030848.8,279.7,278.66,282.5,281.01,281.6,31322320,0.68
2023-11-20,TQBR,SBER,85658,7159259895.1,281.96,281.61,284.2,283.07,282.91,25291010,0.47
2023-11-21,TQBR,SBER,67563,5398749981.4,282.3,281.66,283.82,282.65,282.79,19099390,-0.04
2023-11-22,TQBR,SBER,121271,13495087731.8,283.12,282.85,286.67,285.29,286.16,47296890,1.19
2023-11-23,TQBR,SBER,75608,7943750424.6,286.16,285.04,287.77,286.54,286.19,27724080,0.01
2023-11-24,TQBR,SBER,73824,7464158319.9,286.49,285.11,287.5,286.33,286.85,26067870,0.23
2023-11-27,TQBR,SBER,197671,22471824107.9,287.4,278.88,289.0,283.93,282.33,79146090,-1.58
2023-11-28,TQBR,SBER,114603,12723607276.7,282.4,277.32,282.51,279.59,279.91,45507410,-0.86
2023-11-29,TQBR,SBER,98546,8285652355.3,279.36,276.2,280.56,278.13,276.8,29820830,-1.11
2023-11-30,TQBR,SBER,136936,15391411364.4,276.7,272.75,278.65,275.45,277.5,55873540,0.25
2023-12-01,TQBR,SBER,103059,8726777005.9,277.0,273.55,277.98,275.68,273.97,31660970,-1.27
2023-12-04,TQBR,SBER,96303,10274823032.6,273.6,270.52,274.95,272.56,270.96,37700740,-1.1
2023-12-05,TQBR,SBER,101730,12898716767.4,271.98,270.54,279.65,275.07,279.62,46892570,3.2
2023-12-06,TQBR,SBER,192075,27232146023.6,279.92,266.83,280.79,272.31,267.58,100020030,-4.31
2023-12-07,TQBR,SBER,130692,16923520867.1,267.62,263.06,270.44,266.23,265.12,63564530,-0.92
2023-12-08,TQBR,SBER,89111,9405705680.8,266.0,263.72,268.23,265.96,265.16,35364310,0.02
2023-12-11,TQBR,SBER,182387,20147540396.1,265.17,254.81,266.47,259.41,256.89,77668070,-3.12
2023-12-12,TQBR,SBER,130217,16571022504.0,256.79,255.05,262.88,259.25,257.6,63932170,0.28
2023-12-13,TQBR,SBER,77808,7735550777.2,257.6,256.5,261.39,259.28,260.45,29836400,1.11
2023-12-14,TQBR,SBER,93833,10532813145.4,261.4,255.58,262.75,259.82,256.64,40549660,-1.46
2023-12-15,TQBR,SBER,168933,22341539421.4,256.6,256.6,268.91,263.87,268.21,84668740,4.51
2023-12-18,TQBR,SBER,121593,13852221892.9,268.93,266.54,270.44,268.43,268.4,51602470,0.07
2023-12-19,TQBR,SBER,83518,10231074172.7,268.38,265.0,269.71,267.2,267.35,38287810,-0.39
2023-12-20,TQBR,SBER,69403,8324805931.0,267.51,266.2,269.1,267.72,266.61,31094000,-0.28
2023-12-21,TQBR,SBER,82316,8829664891.8,266.4,263.5,266.87,265.15,265.19,33301420,-0.53
2023-12-22,TQBR,SBER,104039,15866126899.5,266.06,265.37,271.9,270.2,271.3,58724860,2.3
