,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
868,TQBR,2023-09-21,ROSN,156970,7798863472.4,528.0,504.2,528.0,516.85,508.0,15090715,,,-4.03
870,TQBR,2023-09-22,ROSN,225370,5913166159.45,510.0,497.75,515.8,509.9,513.9,11597068,,,1.16
871,TQBR,2023-09-25,ROSN,103545,3004433277.2,513.9,510.0,523.0,518.05,520.65,5799688,,,1.31
872,TQBR,2023-09-26,ROSN,55319,2154283394.95,518.95,508.15,519.9,514.4,517.85,4187848,,,-0.54
873,TQBR,2023-09-27,ROSN,71148,2639358280.45,520.3,519.4,531.25,527.4,529.95,5004800,,,2.34
874,TQBR,2023-09-28,ROSN,67885,2113440363.1,531.4,530.5,537.0,534.2,535.7,3956580,,,1.09
875,TQBR,2023-09-29,ROSN,61604,1708622247.9,536.0,532.3,539.4,536.1,537.0,3187176,,,0.24
876,TQBR,2023-10-02,ROSN,57915,2188356436.7,538.5,534.55,544.35,539.9,535.55,4053827,,,-0.27
877,TQBR,2023-10-03,ROSN,95563,1705786876.65,534.65,526.9,540.65,532.55,538.9,3202852,,,0.63
878,TQBR,2023-10-04,ROSN,49399,1857746041.45,538.2,533.6,543.25,540.3,533.95,3438309,,,-0.92
879,TQBR,2023-10-05,ROSN,65640,1337052940.2,536.0,530.3,539.6,535.2,534.7,2498335,,,0.14
880,TQBR,2023-10-06,ROSN,65987,1576214021.3,534.5,530.0,537.65,532.3,534.2,2961059,,,-0.09
881,TQBR,2023-10-09,ROSN,101283,3814159626.8,541.1,538.6,553.2,547.35,552.5,6967992,,,3.43
882,TQBR,2023-10-10,ROSN,46038,1621388330.95,552.0,547.05,554.5,550.25,549.0,2946699,,,-0.63
883,TQBR,2023-10-11,ROSN,95459,3520102445.9,549.5,537.3,559.65,552.15,540.35,6376794,,,-1.58
884,TQBR,2023-10-12,ROSN,51143,2213190130.15,538.4,535.0,548.7,544.2,546.05,4066793,,,1.05
885,TQBR,2023-10-13,ROSN,62973,2757295325.25,546.65,545.4,562.0,554.3,561.85,4973328,,,2.89
886,TQBR,2023-10-16,ROSN,131542,2870296632.05,564.0,561.05,569.95,565.35,568.65,5076954,,,1.21
887,TQBR,2023-10-17,ROSN,71659,2444282984.0,568.85,563.15,574.5,569.0,573.05,4295747,,,0.77
888,TQBR,2023-10-18,ROSN,97562,5654468781.55,574.95,573.55,589.9,582.5,586.8,9706146,,,2.4
889,TQBR,2023-10-19,ROSN,67036,3502188938.8,586.0,580.55,596.25,587.15,595.25,5963953,,,1.44
